License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
17483,"Garland Avenue, 8101",8101 Garland Ave,Takoma Park,20912,171016,-76.998948,38.99059634,2/9/22,,3,1,5,6,2,1.27,2,0,0,compliant,"(38.9906, -76.9989)"
17631,Yorkshire I,11401 July Dr,Silver Spring,20904,154261,-76.98171871,39.04160138,4/24/19,,3,0,228,79,0.44,0.82,51,0,0,compliant,"(39.0416, -76.9817)"
96607,910 KENNEBEC AVE,910 Kennebec Ave,Takoma Park,20912,158814,-76.99942298,38.99061006,10/24/19,,1,0,3,3,0,0,3,0,0,compliant,"(38.9906, -76.9994)"
17162,Hermitage Square,3213 Hewitt Ave,Silver Spring,20906,159927,-77.0643646,39.0798188,2/18/20,,3,1,131,37,2.51,1.5,9,0.02,0,at-risk,"(39.0798, -77.0644)"
17985,"Garland Avenue, 8311",8311 Garland Ave,Takoma Park,20912,154052,-77.00010199,38.99386645,5/1/19,,2,0,6,7,2.14,1.47,2,0.14,0,at-risk,"(38.9939, -77.0001)"
18216,"Houston Avenue, 811",811 Houston Ave,Takoma Park,20912,171927,-77.00059455,38.99110428,4/7/21,,2,1,4,3,2.66,2.12,0,0,0,troubled,"(38.9911, -77.0006)"
17766,"Greenwood Avenue, 8500",8500 Greenwood Ave,Takoma Park,20912,157669,-77.00174516,38.99505537,9/17/19,,1,0,5,7,1.14,1.25,2,0,0,compliant,"(38.9951, -77.0017)"
17291,Garland Towers,8221 Garland Ave,Takoma Park,20912,170994,-76.99966925,38.9927215,3/7/22,,3,1,25,6,0.16,0.16,5,0,0,compliant,"(38.9927, -76.9997)"
17156,Greenwood Terrace,8502 Greenwood Ave,Takoma Park,20912,160577,-77.00189292,38.99541504,11/19/20,,3,1,47,0,0,0,0,0,0,TBD,"(38.9954, -77.0019)"
17276,Halpine View,13013 Crookston Ln,Rockville,20851,171044,-77.11128588,39.06867449,3/24/22,,3,1,562,158,1.15,1.17,68,0.02,0,compliant,"(39.0687, -77.1113)"
17519,Waverly House,4521 East West Hwy,Bethesda,20814,170970,-77.09222825,38.985431,4/19/22,,3,1,157,31,0.03,0.06,30,0,0,compliant,"(38.9854, -77.0922)"
18227,"Holstein Street, 7902",7902 Holstein St,Takoma Park,20912,157694,-76.99925761,38.98856176,8/27/19,,1,0,2,1,2,1.5,0,0,0,compliant,"(38.9886, -76.9993)"
17744,"Greenwood Avenue, 8220",8220 Greenwood Ave,Takoma Park,20912,157679,-77.00116101,38.99244143,8/28/19,,1,0,5,7,1.14,0.35,5,0,0,compliant,"(38.9924, -77.0012)"
17456,"Thayer Avenue, 809",809 Thayer Ave,Silver Spring,20910,169453,-77.02286961,38.99336728,10/14/21,,1,0,3,4,1,1,0,0,0,compliant,"(38.9934, -77.0229)"
45287,Avalon At Grosvenor Station,10306 Strathmore Hall St,Rockville,20852,165265,-77.10166237,39.02582996,7/28/22,,3,1,497,111,0.72,0.86,66,0,0,compliant,"(39.0258, -77.1017)"
17386,"Quebec Terrace, 1005-07-09",1005 Quebec Ter,Silver Spring,20903,169450,-76.98912357,38.99983514,10/5/21,,1,0,12,12,1.16,1,6,0.08,0,compliant,"(38.9998, -76.9891)"
17260,Aspen Hill Apartments,13515 Georgia Ave,Silver Spring,20906,164995,-77.07014321,39.07942551,8/11/21,,3,1,202,60,1.25,1.72,11,0.01,0,at-risk,"(39.0794, -77.0701)"
17327,Manor Apartments,25801 Wright Rd,Damascus,20872,158824,-77.21008883,39.28007047,12/3/19,,2,0,3,2,1.5,2.33,0,0,0,at-risk,"(39.2801, -77.2101)"
17397,Middlebrooke,5015 Battery Ln,Bethesda,20814,159926,-77.10337129,38.99131122,2/6/20,,2,0,84,39,0.69,0.77,23,0,0,compliant,"(38.9913, -77.1034)"
17819,"Greenwood Avenue, 8400",8400 Greenwood Ave,Takoma Park,20912,173296,-77.00151289,38.99413278,7/11/22,,3,1,5,5,1,0.72,3,0,0,compliant,"(38.9941, -77.0015)"
17014,"Glenville Road, 8804",8804 Glenville Rd,Silver Spring,20901,170973,-76.99737151,38.99992619,2/25/22,,3,1,4,4,1.75,1.6,1,0,0,at-risk,"(38.9999, -76.9974)"
17429,"Flower Avenue, 8627",8627 Flower Ave,Takoma Park,20912,157677,-77.00305062,38.99757585,9/3/19,,1,0,5,5,0.6,1.06,3,0,0,compliant,"(38.9976, -77.0031)"
17729,"Avondale Street, 4534 & 4536",4534 Avondale St,Bethesda,20814,157653,-77.09380136,38.98585259,9/30/19,,1,0,4,5,1,0.96,2,0,0,compliant,"(38.9859, -77.0938)"
106982,Cherry Knolls Apartment,18832 BENT WILLOW CIR,GERMANTOWN,20874,169482,0,0,12/1/21,,3,1,300,81,0.98,1.59,29,0.03,0,at-risk,"(0.0, 0.0)"
17628,The Verandahs Apartments,9300 Willow Creek Dr,Montgomery Village,20886,171973,0,0,9/1/22,,1,1,185,149,1.01,0.77,91,0.02,0,compliant,"(0.0, 0.0)"
17708,"Houston Avenue, 805",805 Houston Ave,Takoma Park,20912,160578,-77.00114694,38.99100546,7/22/21,,3,1,4,2,1,1.5,0,0,0,compliant,"(38.991, -77.0011)"
17438,"Flower Avenue, 8011",8011 Flower Ave,Takoma Park,20912,157680,-77.00082677,38.9897424,10/2/19,,1,0,4,4,2,1.5,1,0,0,compliant,"(38.9897, -77.0008)"
18013,Kensington House,10225 Frederick Ave,Kensington,20895,159919,-77.0694874,39.02467999,2/19/20,,2,1,138,127,1.77,1.17,40,0.05,0,compliant,"(39.0247, -77.0695)"
17400,Kentwood Apartments,4750 Chevy Chase Dr,Chevy Chase,20815,171023,-77.09389469,38.9765775,2/11/22,,3,1,62,12,0.25,0.33,10,0,0,compliant,"(38.9766, -77.0939)"
18236,Prospect House,921 Prospect St,Takoma Park,20912,157650,-76.99781866,38.98939371,9/11/19,,2,0,4,1,0,0,1,0,0,compliant,"(38.9894, -76.9978)"
17256,Forest Park Apartment,9316 Piney Branch Rd,Silver Spring,20903,171029,-76.98663694,39.00130422,3/30/22,,3,0,191,47,2.4,1.81,10,0.06,0.04,troubled,"(39.0013, -76.9866)"
17733,Oakfield Apartments - Phase II,2217 Georgian Way,Silver Spring,20902,169468,-77.0466155,39.05455999,1/26/22,,3,1,371,94,2.01,1.37,26,0.05,0.03,at-risk,"(39.0546, -77.0466)"
76320,Solaire Metro Apartments,1150 Ripley St,Silver Spring,20910,169465,-77.02878366,38.99232808,11/16/21,,3,1,295,72,0.26,0.42,57,0,0,compliant,"(38.9923, -77.0288)"
18135,"White Ground Road, 17700",17700 White Ground Rd,Boyds,20841,157689,-77.34751393,39.15135843,9/9/19,,1,0,2,2,0,0,3,0,0,compliant,"(39.1514, -77.3475)"
17326,"Greenwood Avenue, 8402",8402 Greenwood Ave,Takoma Park,20912,161032,-77.00153756,38.99431678,1/27/21,,3,1,5,1,1,1,0,0,0,compliant,"(38.9943, -77.0015)"
17648,"Clayborn Avenue, 405",405 Clayborn Ave,Takoma Park,20912,161030,-77.00061924,38.99469018,7/13/21,,3,1,4,1,1,3,0,0,0,at-risk,"(38.9947, -77.0006)"
17544,Parkway Woods,12933 Twinbrook Pkwy,Rockville,20851,169470,-77.11411882,39.06832077,11/19/21,,3,1,24,6,3.33,1.54,1,0,0,troubled,"(39.0683, -77.1141)"
38968,Pinnacle Town Center,19860 Century Blvd,Germantown,20874,154249,-77.2648362,39.18233333,5/2/19,,3,0,328,86,0.69,1.01,41,0,0,compliant,"(39.1823, -77.2648)"
17492,"Greenwood Avenue, 8409",8409 Greenwood Ave,Takoma Park,20912,161033,-77.00111183,38.9947231,1/27/21,,3,1,3,0,0,0,0,0,0,TBD,"(38.9947, -77.0011)"
79547,Citron Apartments,815 Pershing Dr,Silver Spring,20910,171034,-77.02366273,38.99773001,2/22/22,,3,1,222,55,0.47,0.58,39,0.03,0.01,compliant,"(38.9977, -77.0237)"
17753,"Garland Avenue, 8314",8314 Garland Ave,Takoma Park,20912,171026,-77.00054531,38.99446778,2/10/22,,3,1,5,1,0,0,5,0,0,compliant,"(38.9945, -77.0005)"
17737,"Silver Spring Avenue, 628",628 Silver Spring Ave,Silver Spring,20910,169459,-77.01526953,38.99172929,10/25/21,,3,1,4,4,2.25,1.22,0,0,0,at-risk,"(38.9917, -77.0153)"
17451,Rock Creek Palisades,11300 Connecticut Ave,Kensington,20895,166611,-77.07718369,39.04250013,1/6/22,,3,1,60,1,17,-96.25,45,0,0,at-risk,"(39.0425, -77.0772)"
17752,"Avondale Street, 4512-4514",4512 Avondale St,Bethesda,20814,169491,-77.09283046,38.98594123,10/13/21,,3,1,5,5,0.8,0.6,2,0,0,compliant,"(38.9859, -77.0928)"
82513,Millstone At Kingsview,13611 Ale House Cir,Germantown,20874,169481,-77.28420316,39.15869624,5/23/22,,3,1,195,50,0.28,0.22,42,0,0,compliant,"(39.1587, -77.2842)"
18210,"Georgia Avenue, 22310",22310 Georgia Ave,Brookeville,20833,154041,-77.06012949,39.22257312,3/18/19,,3,0,2,2,0,0,6,0,0,compliant,"(39.2226, -77.0601)"
17286,"Kennebec Avenue, 903",903 Kennebec Ave,Takoma Park,20912,158817,-76.99942652,38.99024486,1/23/20,,2,0,1,0,0,0,0,0,0,TBD,"(38.9902, -76.9994)"
17994,Montgomery Trace Apartments,14114 Grand Pre Rd,Silver Spring,20906,166705,-77.07428814,39.08699773,11/18/21,,3,1,192,44,0.47,0.64,31,0,0,compliant,"(39.087, -77.0743)"
70364,Argent Apartments,1200 Blair Mill Rd,Silver Spring,20910,169463,-77.02962349,38.98982655,11/15/21,,3,1,96,21,0.38,0.85,15,0,0,compliant,"(38.9898, -77.0296)"
17328,"Greenwood Avenue, 8210",8210 Greenwood Ave,Takoma Park,20912,173295,-77.00112584,38.99221631,7/11/22,,3,1,6,6,1.33,2.18,1,0,0,at-risk,"(38.9922, -77.0011)"
95888,"Kennebec Avenue, 1001",1001 KENNEBEC AVE,TAKOMA PARK,20912,157640,-76.99833232,38.99011035,9/13/19,,1,0,3,3,0.33,1,0,0,0,compliant,"(38.9901, -76.9983)"
17176,Londonderry,17041 Downing St,Gaithersburg,20877,166749,-77.20859842,39.13601316,12/14/21,,3,1,529,134,1.16,1.14,56,0.02,0,compliant,"(39.136, -77.2086)"
17423,Amherst Square,11500 Amherst Ave,Silver Spring,20902,161024,-77.04791884,39.04340687,10/28/20,,1,0,125,1,1,1,0,0,0,compliant,"(39.0434, -77.0479)"
112415,Manor at Cloppers Mill,18003 Mateny Rd,Germantown,20874,169480,-77.27119572,39.14681538,10/28/21,,3,1,102,26,0.73,1,13,0,0,compliant,"(39.1468, -77.2712)"
17427,Avery Park Apartments I I,9700 Mt Pisgah Rd,Silver Spring,20903,113176,0,0,5/23/13,,1,0,42,27,0.29,0.25,23,0,0,compliant,"(0.0, 0.0)"
79327,Elms At Clarksburg Village,12200 Elm Forest Ct,Clarksburg,20871,170967,-77.25212149,39.22871291,5/12/22,,3,1,450,108,0.61,0.81,61,0,0,compliant,"(39.2287, -77.2521)"
17324,"Garland Avenue, 7900",7900 Garland Ave,Takoma Park,20912,159474,-76.99844493,38.98853978,12/12/19,,2,0,3,4,0.25,1,2,0,0,compliant,"(38.9885, -76.9984)"
17522,"Houston Avenue, 905",905 Houston Ave,Takoma Park,20912,157638,-76.99976779,38.99124431,10/9/19,,2,0,2,2,0,0,2,0,0,compliant,"(38.9912, -76.9998)"
17187,Blair House,8201 16Th St,Silver Spring,20910,153888,-77.03455354,38.99195584,4/11/19,,1,0,313,74,2.1,1.82,5,0.05,0.02,troubled,"(38.992, -77.0346)"
57536,Covenant Village,18889 Waring Station Rd,Germantown,20874,159925,-77.24622213,39.16605402,1/20/22,,2,1,89,38,0.15,0.26,33,0,0,compliant,"(39.1661, -77.2462)"
17497,Northgate,14200 Grand Pre Rd,Silver Spring,20906,165005,-77.07649101,39.08920427,11/4/21,,3,1,250,61,1.16,1.3,30,0,0,compliant,"(39.0892, -77.0765)"
115234,"Silver Spring, 626",626 Silver Spring Ave,Silver Spring,20910,159461,-77.01510414,38.99173756,1/14/20,,2,0,4,4,2.5,1.3,0,0,0,at-risk,"(38.9917, -77.0151)"
18018,"Flower Avenue, 8411",8411 Flower Ave,Takoma Park,20912,157666,-77.00207588,38.99482471,10/3/19,,1,0,2,3,1,1.33,1,0,0,compliant,"(38.9948, -77.0021)"
51544,Residences At Rio,9890 Washingtonian Blvd,Gaithersburg,20878,145352,-77.20046197,39.11612153,2/23/18,,3,0,136,35,0.37,1.05,15,0,0,compliant,"(39.1161, -77.2005)"
50460,"Prospect Street, 903",903 Prospect St,Takoma Park,20912,157645,-76.99948646,38.98926655,9/10/19,,1,0,1,1,0,0,0,0,0,compliant,"(38.9893, -76.9995)"
17396,Wellington Apartments,4800 Wellington Dr,Chevy Chase,20815,146176,-77.09359537,38.97900769,3/8/18,,3,0,38,9,0.77,0.77,4,0,0.11,compliant,"(38.979, -77.0936)"
75916,The Galaxy,8025 13Th St,Silver Spring,20910,154276,-77.02841554,38.98688068,4/19/19,,2,0,195,49,0.32,2.12,0,0,0.02,at-risk,"(38.9869, -77.0284)"
17526,"Greenwood Avenue, 8408",8408 Greenwood Ave,Takoma Park,20912,173300,-77.00162903,38.99477527,7/27/22,,3,1,5,6,0.33,0.5,3,0,0,compliant,"(38.9948, -77.0016)"
18245,Hamptons Phase I I,19773 Crystal Rock Dr,Germantown,20874,168697,-77.26192142,39.18057265,8/24/21,,3,1,245,97,1.31,1.66,27,0.02,0,at-risk,"(39.1806, -77.2619)"
90324,"Flower Avenue, 8623",8623 Flower Ave,Takoma Park,20912,154228,-77.00302948,38.99743859,3/25/19,,3,0,6,6,0.16,0.16,5,0,0,compliant,"(38.9974, -77.003)"
17173,Hewitt Gardens,3331 Hewitt Ave,Silver Spring,20906,166700,-77.06833306,39.07994004,6/24/21,,3,1,143,48,0.97,1.11,19,0,0,compliant,"(39.0799, -77.0683)"
96373,"Plymouth Street, 8713",8713 Plymouth St,Silver Spring,20901,159445,-77.0071747,38.99999193,12/17/19,,1,0,6,5,0.4,0.8,3,0,0,compliant,"(39.0, -77.0072)"
17478,"Garland Avenue, 8111",8111 Garland Ave,Takoma Park,20912,159434,-76.99918023,38.991291,12/30/19,,1,0,3,3,0,0,3,0,0,compliant,"(38.9913, -76.9992)"
17017,"Greenwood Avenue, 8001",8001 Greenwood Ave,Takoma Park,20912,171972,-77.00007036,38.98959418,4/25/22,,3,1,5,6,1.33,2,0,0,0,at-risk,"(38.9896, -77.0001)"
42734,Andrew Kim House,2100 Olney Sandy Spring Rd,Olney,20832,170968,-77.04367474,39.1441962,4/28/22,,3,1,76,19,0,0,19,0,0,compliant,"(39.1442, -77.0437)"
55327,"Prospect Street, 909",909 Prospect St,Takoma Park,20912,160583,-76.99882489,38.98918504,6/24/22,,3,1,2,0,0,0,0,0,0,TBD,"(38.9892, -76.9988)"
17446,"Greenwood Avenue, 8507",8507 Greenwood Ave,Takoma Park,20912,171934,-77.0013687,38.99551115,5/2/22,,2,1,4,5,3,1.33,0,0,0,at-risk,"(38.9955, -77.0014)"
18136,"Greenwood Avenue, 8404",8404 Greenwood Ave,Takoma Park,20912,173298,-77.00153756,38.99447601,7/11/22,,3,1,4,4,0.75,0.83,2,0,0,compliant,"(38.9945, -77.0015)"
17503,"Prospect Street, 911",911 Prospect St,Takoma Park,20912,157648,-76.9986736,38.98921525,9/13/19,,1,0,2,0,0,0,0,0,0,TBD,"(38.9892, -76.9987)"
108658,Liberty Mill Apartments,19520 WATERS RD,GERMANTOWN,20874,160558,-77.2739917,39.17605232,7/15/20,,3,1,303,1,1,1,0,0,0,compliant,"(39.1761, -77.274)"
17204,"Seasons, The",4710 Bethesda Ave,Bethesda,20814,169494,-77.09383334,38.98074554,12/2/21,,3,1,247,59,1.1,1.8,19,0,0.01,at-risk,"(38.9807, -77.0938)"
17333,"Avondale Street, 4531",4531 Avondale St,Bethesda,20814,159424,-77.09365767,38.98627828,12/11/19,,2,0,4,5,1.4,1.02,2,0,0,compliant,"(38.9863, -77.0937)"
17521,Chelsea Tower,7401 Westlake Ter,Bethesda,20817,169493,-77.15191302,39.02744107,10/27/21,,3,1,21,5,0.2,0.6,4,0,0,compliant,"(39.0274, -77.1519)"
17192,Northwest Park,475 Southampton Dr,Silver Spring,20903,170995,-76.98420969,39.00616404,4/20/22,,3,1,747,187,1.3,1.25,71,0.04,0.02,compliant,"(39.0062, -76.9842)"
86485,The Perry At Park Potomac,12430 Park Potomac Ave,Potomac,20854,159923,-77.15793743,39.05986503,12/7/21,,3,1,297,77,0.19,-0.05,79,0,0,compliant,"(39.0599, -77.1579)"
17183,Park Wayne,2 Manchester Pl,Silver Spring,20901,165397,-77.00993547,39.0010221,6/16/21,,3,1,221,1,2,1,0,0,0,compliant,"(39.001, -77.0099)"
17401,Dorset Apartments,4757 Chevy Chase Dr,Chevy Chase,20815,169487,-77.09357536,38.9771626,10/19/21,,3,1,69,17,0,0,17,0,0,compliant,"(38.9772, -77.0936)"
17554,"Wisconsin Avenue, 7347",7347 Wisconsin Ave,Bethesda,20814,157663,-77.09329144,38.98333792,9/25/19,,1,0,5,0,0,0,0,0,0,TBD,"(38.9833, -77.0933)"
105594,North Bethesda Market,11351 WOODGLEN DR,ROCKVILLE,20852,146687,-77.11304772,39.04298445,5/31/18,,3,0,411,105,0.29,0.49,75,0,0,compliant,"(39.043, -77.113)"
17309,"Glenville Road, 8807",8807 Glenville Rd,Silver Spring,20901,171178,-76.99662903,38.99984655,2/25/22,,2,1,4,4,1.25,1.35,1,0,0,compliant,"(38.9998, -76.9966)"
17961,"Bradford Road, 8716",8716 Bradford Rd,Silver Spring,20901,161026,-77.00675595,38.99990958,3/20/20,,3,1,6,8,1.87,1.63,1,0,0,at-risk,"(38.9999, -77.0068)"
18138,"Flower Avenue, 8413",8413 Flower Ave,Takoma Park,20912,157667,-77.00213218,38.99495926,10/3/19,,1,0,6,7,0.85,1.33,3,0,0,compliant,"(38.995, -77.0021)"
17237,Wheaton House,10811 Georgia Ave,Silver Spring,20902,161049,-77.04839368,39.03225386,11/22/21,,3,1,71,17,0.94,0.7,11,0,0,compliant,"(39.0323, -77.0484)"
17717,"Garland Avenue, 7814",7814 Garland Ave,Takoma Park,20912,169458,-76.99830073,38.9882652,10/13/21,,3,1,1,0,0,0,0,0,0,TBD,"(38.9883, -76.9983)"
17387,Round Hill Apartments of Chevy Chase,8584 Freyman Dr,Chevy Chase,20815,166658,-77.05896468,38.99636389,10/26/21,,3,1,150,35,0.62,0.85,21,0,0,compliant,"(38.9964, -77.059)"
79586,Woodward Crossing,8380 Broderick Cir,Gaithersburg,20877,159463,-77.16999279,39.14710462,1/6/20,,2,0,32,30,1.53,1.56,7,0.06,0,at-risk,"(39.1471, -77.17)"
17308,Chateau Apartments,9727 Mt Pisgah Rd,Silver Spring,20903,171037,-76.97497936,39.01686173,3/8/22,,3,1,399,100,0.65,-0.28,119,0.03,0,compliant,"(39.0169, -76.975)"
17332,"Garland Avenue, 8007",8007 Garland Ave,Takoma Park,20912,171030,-76.99864544,38.99006366,3/1/22,,3,1,3,3,0.33,0.33,2,0,0,compliant,"(38.9901, -76.9986)"
41711,Burnt Mills Crossing I I,10700 Venetia Mill Cir,Silver Spring,20901,157356,-77.00224236,39.03101293,9/23/19,,2,0,40,39,0.12,0.45,31,0,0,compliant,"(39.031, -77.0022)"
50418,"Greenwood Avenue, 7901",7901 Greenwood Ave,Takoma Park,20912,160569,-76.99949338,38.98835307,1/27/21,,3,1,2,0,0,0,0,0,0,TBD,"(38.9884, -76.9995)"
17633,Five Star Premier Residences Of Chevy Chase,8100 Connecticut Ave,Chevy Chase,20815,169489,-77.07826253,38.99255529,11/9/21,,3,1,318,76,0.53,0.37,55,0.01,0,compliant,"(38.9926, -77.0783)"
82144,Gallery Bethesda,4800 Auburn Ave,Bethesda,20814,166758,-81.52919213,37.57726919,5/14/21,,3,1,234,56,0.37,0.38,45,0,0,compliant,"(37.5773, -81.5292)"
17174,"Avondale Street, 4530",4530 Avondale St,Bethesda,20814,171967,-77.0936114,38.98586647,4/14/22,,1,1,4,0,0,0,0,0,0,TBD,"(38.9859, -77.0936)"
17774,"Glenville Road, 8814",8814 Glenville Rd,Silver Spring,20901,154058,-76.99699146,39.00035727,4/17/19,,3,0,3,3,0,0,3,0,0,compliant,"(39.0004, -76.997)"
17341,"Greenwood Avenue, 8208",8208 Greenwood Ave,Takoma Park,20912,171938,-77.00100269,38.99192525,4/20/22,,3,1,4,6,1.66,2.37,0,0,0,at-risk,"(38.9919, -77.001)"
17557,Chadswood,1 Cross Laurel Ct,Germantown,20876,171960,-77.22899764,39.18967097,5/26/22,,2,1,11,10,1.6,1.53,3,0,0,at-risk,"(39.1897, -77.229)"
17264,The Monterey,5901 Montrose Rd,Rockville,20852,169472,-77.11905435,39.05353559,11/18/21,,3,1,432,96,0.84,1.2,46,0.03,0,compliant,"(39.0535, -77.1191)"
17459,"808 Houston Avenue, Takoma Park, MD 20912",808 Houston Ave,Takoma Park,20912,154300,0,0,4/23/19,,3,0,3,3,0,0,3,0,0,compliant,"(0.0, 0.0)"
18161,"Garland Avenue, 8005",8005 Garland Ave,Takoma Park,20912,159432,-76.9985786,38.98993188,1/14/20,,1,0,3,4,0.75,0.83,2,0,0,compliant,"(38.9899, -76.9986)"
96482,8417 Flower Ave,8417 Flower Ave,Takoma Park,20912,157668,-77.0022518,38.99524203,10/3/19,,2,0,4,4,0,0,4,0,0,compliant,"(38.9952, -77.0023)"
17009,"Greenwood Avenue, 8403",8403 Greenwood Ave,Takoma Park,20912,173297,-77.00096053,38.99426185,7/11/22,,3,1,3,3,1,1.55,1,0,0,at-risk,"(38.9943, -77.001)"
85490,Eleven55 Ripley,1155 Ripley St,Silver Spring,20910,169469,-77.0286923,38.99272898,2/15/22,,3,1,379,92,0.46,0.59,67,0,0,compliant,"(38.9927, -77.0287)"
17635,Aspenwood,14400 Homecrest Rd,Silver Spring,20906,173309,-77.06281494,39.09140999,7/8/22,,3,1,85,15,0.26,0.23,13,0,0,compliant,"(39.0914, -77.0628)"
65228,"Domer Avenue, 404",404 Domer Ave,Takoma Park,20912,160563,-77.00145665,38.99697184,12/23/21,,3,1,3,3,0.66,2.66,1,0,0,at-risk,"(38.997, -77.0015)"
24650,"Greenwood Avenue, 8000",8000 Greenwood Ave,Takoma Park,20912,173302,-77.00042567,38.98918229,6/23/22,,3,1,1,0,0,0,0,0,0,TBD,"(38.9892, -77.0004)"
17523,Country Place Apartments,3900 Blackburn Ln,Burtonsville,20866,145355,-76.93081847,39.10474095,2/8/18,,3,0,312,78,1.71,1.07,27,0,0.02,compliant,"(39.1047, -76.9308)"
17461,Peppertree Farm,14120 Weeping Willow Dr,Silver Spring,20906,144900,-77.06564945,39.08830481,2/14/18,,1,0,881,450,2.28,1.53,86,0.12,0.06,troubled,"(39.0883, -77.0656)"
17195,Flower Branch Apartments,8628 Piney Branch Rd,Silver Spring,20901,170965,-76.99973782,38.99860344,8/17/22,,3,1,362,85,0.92,1.17,38,0.02,0,compliant,"(38.9986, -76.9997)"
45178,Avalon At Traville,14240 Alta Oaks Dr,Rockville,20850,166620,-77.20557287,39.09096448,5/18/22,,3,1,520,112,0.48,0.58,78,0,0,compliant,"(39.091, -77.2056)"
137030,The Lockwood,11431 Lockwood Dr,Silever Spring,20904,171951,0,0,7/26/22,,1,1,111,112,1.84,1.47,33,0.1,0,compliant,"(0.0, 0.0)"
17467,"Bradford Road, 8701",8701 Bradford Rd,Silver Spring,20901,173305,-77.00667485,38.99846256,7/11/22,,3,1,3,5,5,2.08,0,0.2,0,troubled,"(38.9985, -77.0067)"
88050,"Georgia Spring, LLC",923 Silver Spring Ave,Silver Spring,20910,158829,-77.02597694,38.99167188,10/29/19,,2,0,3,3,1,0.44,2,0,0,compliant,"(38.9917, -77.026)"
17695,"Silver Spring Avenue, 622",622 Silver Spring Ave,Silver Spring,20910,173290,-77.0147523,38.99175685,7/5/22,,3,1,5,5,3.2,1.73,1,0,0.2,troubled,"(38.9918, -77.0148)"
17581,Montgomery Paint Branch I I I,11556 February Cir,Silver Spring,20904,144895,-76.97689723,39.04685913,4/6/18,,3,0,168,46,1.32,1.12,11,0.02,0.02,compliant,"(39.0469, -76.9769)"
27164,"Flower Avenue, 8201",8201 Flower Ave,Takoma Park,20912,157664,-77.00163597,38.99132944,10/3/19,,1,0,4,4,0.5,1.25,2,0,0,compliant,"(38.9913, -77.0016)"